"Average sea ice and multi-year sea ice area, Canada's Northwest Passage, 1968 to 2018",,,,
,,,,
Year,Northwest Passage northern route sea ice area (thousands of square kilometres),Northwest Passage southern route sea ice area (thousands of square kilometres),Northwest Passage northern route multi-year sea ice area (thousands of square kilometres),Northwest Passage southern route multi-year sea ice area (thousands of square kilometres)
1968,127,81,64,8
1969,133,86,82,4
1970,130,98,55,7
1971,110,69,40,7
1972,146,147,61,13
1973,119,63,77,19
1974,132,134,36,7
1975,138,87,65,12
1976,138,123,73,14
1977,124,81,77,22
1978,159,142,62,31
1979,158,155,92,42
1980,139,115,77,36
1981,117,67,53,10
1982,131,110,40,9
1983,128,110,50,17
1984,138,94,48,6
1985,123,102,55,13
1986,141,137,67,26
1987,145,119,96,30
1988,126,62,84,14
1989,127,102,69,16
1990,143,114,76,26
1991,134,112,80,33
1992,145,120,84,21
1993,129,89,84,22
1994,129,88,87,19
1995,132,85,69,13
1996,134,90,69,23
1997,147,104,93,22
1998,94,55,60,19
1999,107,70,12,4
2000,119,93,26,3
2001,137,83,64,7
2002,140,111,53,10
2003,136,98,77,14
2004,140,122,91,19
2005,136,108,86,23
2006,116,53,66,7
2007,98,58,44,4
2008,104,62,32,5
2009,119,87,30,5
2010,81,55,21,6
2011,69,50,15,1
2012,74,56,20,1
2013,123,79,23,2
2014,126,84,32,8
2015,91,29,27,7
2016,106,43,49,6
2017,118,44,60,13
2018,137,54,60,21
1968 to 2018 decadal trend,-3.10%,-9.60%,-6.70%,-10.00%
,,,,
"Note: Sea ice is measured during the summer season. For the Canadian Arctic domain, the summer season is defined as the period from June 25 to October 15. A statistically significant trend is reported when the Mann-Kendall test indicated the presence of a trend at the 95% confidence level.",,,,
Source: Environment and Climate Change Canada (2018) Climate Research Division.,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,
