Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-76.53,64.23,CAPE DORSET A,2400635,1963-01,1963,1,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-02,1963,2,,M,,M,,M,-8.9,,-36.7,,0,,,M,,M,81,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-03,1963,3,-22.9,,-31,,-27,,-14.4,,-37.2,,0,,2.5,,2.5,,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-04,1963,4,-6.5,,-14.3,,-10.4,,0,,-32.8,,0,,18.8,,18.8,,91,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-05,1963,5,-3.6,,-9.4,,-6.5,,2.2,S,-19.4,,0,,10.9,,10.9,,84,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-06,1963,6,3.2,,-2,,0.6,,12.8,,-5.6,S,20.8,,0.5,,21.3,,0,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-07,1963,7,10.8,,2.8,,6.8,,17.2,,0,,10.9,,0,,10.9,,0,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-08,1963,8,10.6,,3.9,,7.3,,18.3,,0,,35.8,,0,T,35.8,,0,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-09,1963,9,1.2,,-2.4,,-0.6,,7.2,S,-8.3,,14,,13.7,,27.7,,3,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-10,1963,10,-3.6,,-8.6,,-6.1,,1.7,,-13.3,,19.6,,16.5,,36.1,,13,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-11,1963,11,-10.3,,-15.3,,-12.8,,-0.6,S,-30.6,,0,,13.5,,13.5,,25,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1963-12,1963,12,-23.2,,-28.4,,-25.8,,-1.7,S,-32.8,S,0,T,23.1,,23.1,,53,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-01,1964,1,-28.1,,-32.4,,-30.3,,-18.3,,-38.9,,0,,6.9,,6.9,,64,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-02,1964,2,-23,,-29.7,,-26.4,,-3.3,,-40.6,,0,,32.3,,32.3,,86,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-03,1964,3,-28.9,,-35.1,,-32,,-21.7,,-42.2,,0,,0,T,0,T,86,,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-04,1964,4,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-05,1964,5,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-06,1964,6,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-07,1964,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-08,1964,8,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-09,1964,9,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-10,1964,10,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-11,1964,11,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-76.53,64.23,CAPE DORSET A,2400635,1964-12,1964,12,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
