"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.24","68.78","HALL BEACH A","2402350","1957-01","1957","01","-34.6","","-40.6","","-37.6","","-23.3","","-47.8","S","0.0","","19.3","","19.3","","58","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-02","1957","02","-25.1","","-31.9","","-28.5","","-14.4","","-44.4","","0.0","","14.2","","14.2","","64","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-03","1957","03","-18.1","","-25.8","","-22.0","","-5.6","","-36.1","","0.0","","24.9","","24.9","","66","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-04","1957","04","-15.8","","-24.7","","-20.3","","-8.3","","-32.2","S","0.0","","8.4","","8.4","","69","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-05","1957","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-06","1957","06","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-07","1957","07","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-08","1957","08","6.7","","1.2","","4.0","","15.0","","-2.8","","61.5","","3.3","","64.8","","0","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-09","1957","09","1.7","","-1.7","","0.0","","11.7","","-7.2","","29.5","","1.5","","31.0","","0","T","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-10","1957","10","-8.5","","-15.1","","-11.8","","-0.6","","-24.4","S","0.0","T","16.5","","16.5","","10","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-11","1957","11","-19.1","","-27.8","","-23.5","","-6.7","","-35.6","S","0.0","","8.4","","8.4","","18","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1957-12","1957","12","-24.1","","-32.8","","-28.5","","-10.0","S","-42.8","","0.0","","3.0","","3.0","","20","","","","",""
"-81.24","68.78","HALL BEACH A","2402350","1958-01","1958","01","","M","-31.4","","","M","1.1","","-43.9","","0.5","","5.1","","5.6","","25","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-02","1958","02","","M","-35.7","","","M","-2.2","","-47.8","","0.0","T","14.5","","14.5","","36","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-03","1958","03","-19.1","","-30.4","","-24.8","","-7.2","","-41.7","S","0.0","","4.1","","4.1","","36","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-04","1958","04","-19.7","","-29.7","","-24.7","","-7.2","S","-38.9","","0.0","","8.4","","8.4","","43","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-05","1958","05","-2.1","","-7.8","","-5.0","","1.1","S","-24.4","","1.3","","28.4","","29.7","","30","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-06","1958","06","3.2","","-1.9","","0.7","","9.4","","-9.4","","0.0","T","7.1","","7.1","","0","T","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-07","1958","07","7.1","","1.7","","4.4","","15.6","","-1.1","","57.7","","0.5","","58.2","","0","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-08","1958","08","7.2","","1.8","","4.5","","13.9","","-1.7","","5.3","","0.0","","5.3","","0","","","","<31",""
"-81.24","68.78","HALL BEACH A","2402350","1958-09","1958","09","2.7","","-1.2","","0.8","","10.6","","-7.8","","8.9","","0.5","","9.4","","0","","7","","80",""
"-81.24","68.78","HALL BEACH A","2402350","1958-10","1958","10","-5.3","","-11.6","","-8.5","","-0.6","S","-23.9","","0.0","T","8.4","","8.4","","8","","34","","63",""
"-81.24","68.78","HALL BEACH A","2402350","1958-11","1958","11","-21.4","","-29.1","","-25.3","","-7.2","","-36.7","","0.0","","4.3","","4.3","","10","","29","","55",""
"-81.24","68.78","HALL BEACH A","2402350","1958-12","1958","12","-20.8","","-29.4","","-25.1","","-5.6","","-38.9","S","0.0","","3.6","","3.6","","13","","11","","55",""
"-81.24","68.78","HALL BEACH A","2402350","1959-01","1959","01","-18.7","","-27.1","","-22.9","","-1.1","","-37.2","S","0.0","","8.4","","8.4","","18","","9","","77",""
"-81.24","68.78","HALL BEACH A","2402350","1959-02","1959","02","-31.6","","-39.1","","-35.4","","-18.3","S","-45.6","","0.0","","1.5","","1.5","","20","","32","","45",""
"-81.24","68.78","HALL BEACH A","2402350","1959-03","1959","03","-27.9","","-36.1","","-32.0","","-20.0","","-42.2","S","0.0","","1.3","","1.3","","20","","32","","56",""
"-81.24","68.78","HALL BEACH A","2402350","1959-04","1959","04","-15.6","","-26.9","","-21.3","","-8.9","","-36.7","","0.0","","3.8","","3.8","","23","","29","","69",""
"-81.24","68.78","HALL BEACH A","2402350","1959-05","1959","05","-5.9","","-14.5","","-10.2","","1.1","","-27.2","","0.0","T","10.9","","10.9","","18","","36","","43",""
"-81.24","68.78","HALL BEACH A","2402350","1959-06","1959","06","1.6","","-3.8","","-1.1","","5.6","","-17.2","","19.3","","5.8","","25.1","","0","T","14","","48",""
"-81.24","68.78","HALL BEACH A","2402350","1959-07","1959","07","9.3","","2.6","","6.0","","16.7","","-1.1","","28.4","","1.8","","30.2","","0","","32","","48",""
"-81.24","68.78","HALL BEACH A","2402350","1959-08","1959","08","7.6","","1.9","","4.8","","12.2","S","0.0","","40.6","","0.0","","40.6","","0","","11","","50",""
"-81.24","68.78","HALL BEACH A","2402350","1959-09","1959","09","1.2","","-2.8","","-0.8","","6.7","","-11.7","","6.4","","4.1","","10.4","","3","","36","","74",""
"-81.24","68.78","HALL BEACH A","2402350","1959-10","1959","10","-12.7","","-19.2","","-16.0","","-1.7","","-29.4","","0.0","","4.1","","4.1","","5","","36","","77",""
"-81.24","68.78","HALL BEACH A","2402350","1959-11","1959","11","-15.9","","-22.8","","-19.4","","-1.1","S","-31.7","","0.0","","5.1","","5.1","","8","","11","","85",""
"-81.24","68.78","HALL BEACH A","2402350","1959-12","1959","12","-19.6","","-28.4","","-24.0","","-7.2","","-40.0","","0.0","","6.9","","6.9","","13","","23","","87",""
"-81.24","68.78","HALL BEACH A","2402350","1960-01","1960","01","-24.0","","-32.0","","-28.0","","-6.1","","-41.1","","0.5","","4.8","","5.3","","18","","32","","69",""
"-81.24","68.78","HALL BEACH A","2402350","1960-02","1960","02","-23.5","","-32.9","","-28.2","","-3.9","","-43.3","","0.0","","4.8","","4.8","","20","","32","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1960-03","1960","03","-28.4","","-37.0","","-32.7","","-16.1","","-44.4","","0.0","","4.6","","4.6","","28","","18","","55",""
"-81.24","68.78","HALL BEACH A","2402350","1960-04","1960","04","-17.2","","-27.6","","-22.4","","-3.9","","-40.0","","0.0","","7.6","","7.6","","36","","7","","47",""
"-81.24","68.78","HALL BEACH A","2402350","1960-05","1960","05","-3.3","","-11.8","","-7.6","","3.3","","-22.8","","0.3","","7.9","","8.1","","13","","32","","89",""
"-81.24","68.78","HALL BEACH A","2402350","1960-06","1960","06","5.2","","-0.4","","2.4","","10.0","S","-5.6","","3.0","","3.3","","6.4","","0","","32","","64","S"
"-81.24","68.78","HALL BEACH A","2402350","1960-07","1960","07","10.4","","3.7","","7.1","","17.2","","-0.6","S","54.9","","0.0","","54.9","","0","","11","","53",""
"-81.24","68.78","HALL BEACH A","2402350","1960-08","1960","08","7.6","","1.9","","4.8","","14.4","","0.0","S","30.7","","0.0","","30.7","","0","","9","","74",""
"-81.24","68.78","HALL BEACH A","2402350","1960-09","1960","09","1.5","","-1.8","","-0.2","","8.9","","-6.7","S","22.9","","18.8","","41.7","","3","","34","","64",""
"-81.24","68.78","HALL BEACH A","2402350","1960-10","1960","10","-4.0","","-11.7","","-7.9","","0.6","S","-22.2","","0.0","T","9.9","","9.9","","10","","2","","66","S"
"-81.24","68.78","HALL BEACH A","2402350","1960-11","1960","11","-14.4","","-24.6","","-19.5","","-2.8","S","-39.4","","0.0","T","27.4","","27.4","","36","","34","","80",""
"-81.24","68.78","HALL BEACH A","2402350","1960-12","1960","12","-20.4","","-28.7","","-24.6","","-11.7","","-37.8","S","0.0","","5.6","","5.6","","38","","2","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1961-01","1961","01","-27.5","","-36.3","","-31.9","","-16.1","","-44.4","","0.0","","2.8","","2.8","","38","","32","","77",""
"-81.24","68.78","HALL BEACH A","2402350","1961-02","1961","02","-30.7","","-38.5","","-34.6","","-16.1","","-47.2","","0.0","","4.3","","4.3","","43","","32","","71",""
"-81.24","68.78","HALL BEACH A","2402350","1961-03","1961","03","-34.3","","-42.1","","-38.2","","-26.7","","-46.7","","0.0","","0.0","T","0.0","T","43","","32","","47",""
"-81.24","68.78","HALL BEACH A","2402350","1961-04","1961","04","-11.4","","-21.1","","-16.3","","-2.2","","-36.1","","0.0","T","4.3","","4.3","","33","","32","","60",""
"-81.24","68.78","HALL BEACH A","2402350","1961-05","1961","05","-8.6","","-17.1","","-12.9","","0.6","","-26.7","S","0.0","T","7.4","","7.4","","33","","7","","68",""
"-81.24","68.78","HALL BEACH A","2402350","1961-06","1961","06","4.2","","-0.6","","1.8","","12.8","","-5.0","","8.4","","2.0","","10.4","","0","T","32","","60",""
"-81.24","68.78","HALL BEACH A","2402350","1961-07","1961","07","11.1","","3.1","","7.1","","18.3","","0.6","","12.4","","0.0","","12.4","","0","","29","","60",""
"-81.24","68.78","HALL BEACH A","2402350","1961-08","1961","08","6.0","","1.1","","3.6","","13.3","","-0.6","S","43.9","","4.8","","48.8","","0","T","11","","87",""
"-81.24","68.78","HALL BEACH A","2402350","1961-09","1961","09","-0.6","","-3.8","","-2.2","","3.9","","-10.0","","4.3","","24.1","","28.4","","13","","7","","69",""
"-81.24","68.78","HALL BEACH A","2402350","1961-10","1961","10","-9.2","","-17.3","","-13.3","","-0.6","S","-27.2","","0.0","T","20.3","","20.3","","28","","32","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1961-11","1961","11","-17.5","","-26.3","","-21.9","","-6.7","S","-33.9","S","0.0","","20.6","","20.6","","48","","32","","68","S"
"-81.24","68.78","HALL BEACH A","2402350","1961-12","1961","12","-19.9","","-30.1","","-25.0","","-7.2","S","-44.4","","0.0","","19.6","","19.6","","64","","32","","82",""
"-81.24","68.78","HALL BEACH A","2402350","1962-01","1962","01","-31.8","","-38.3","","-35.1","","-21.7","","-48.3","","0.0","","11.7","","11.7","","71","","32","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1962-02","1962","02","-33.4","","-40.3","","-36.9","","-15.0","","-46.7","S","0.0","","3.3","","3.3","","74","","29","","61",""
"-81.24","68.78","HALL BEACH A","2402350","1962-03","1962","03","-17.7","","-27.0","","-22.4","","-4.4","","-35.6","","0.0","","15.0","","15.0","","71","","32","","63",""
"-81.24","68.78","HALL BEACH A","2402350","1962-04","1962","04","-14.9","","-26.1","","-20.5","","-8.3","","-32.8","","0.0","","9.4","","9.4","","69","","32","","82",""
"-81.24","68.78","HALL BEACH A","2402350","1962-05","1962","05","-6.6","","-15.8","","-11.2","","0.0","","-23.3","","0.0","T","12.4","","12.4","","43","","32","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1962-06","1962","06","4.1","","-2.5","","0.8","","9.4","","-12.8","","1.3","","1.0","","2.3","","0","","29","","58",""
"-81.24","68.78","HALL BEACH A","2402350","1962-07","1962","07","9.3","","2.8","","6.1","","18.3","","-0.6","","37.3","","0.0","","37.3","","0","","14","","60",""
"-81.24","68.78","HALL BEACH A","2402350","1962-08","1962","08","8.1","","2.6","","5.4","","15.0","","0.0","S","52.3","","0.0","","52.3","","0","","9","","55",""
"-81.24","68.78","HALL BEACH A","2402350","1962-09","1962","09","1.7","","-2.0","","-0.2","","7.8","","-7.8","","8.9","","18.8","","27.7","","5","","29","","79",""
"-81.24","68.78","HALL BEACH A","2402350","1962-10","1962","10","-5.6","","-13.2","","-9.4","","0.0","S","-24.4","S","0.0","T","28.2","","28.2","","28","","9","","74",""
"-81.24","68.78","HALL BEACH A","2402350","1962-11","1962","11","-17.9","","-27.9","","-22.9","","-3.9","","-37.8","","0.0","","13.5","","13.5","","36","","9","","90",""
"-81.24","68.78","HALL BEACH A","2402350","1962-12","1962","12","-22.8","","-30.8","","-26.8","","-8.3","","-38.3","S","0.0","","6.1","","6.1","","43","","16","","84",""
"-81.24","68.78","HALL BEACH A","2402350","1963-01","1963","01","-22.2","","-32.6","","-27.4","","-5.0","","-42.8","","0.0","","18.0","","18.0","","61","","34","","106",""
"-81.24","68.78","HALL BEACH A","2402350","1963-02","1963","02","-22.2","","-30.9","","-26.6","","-1.1","","-43.9","","0.0","","11.9","","11.9","","69","","9","","87",""
"-81.24","68.78","HALL BEACH A","2402350","1963-03","1963","03","-30.8","","-39.8","","-35.3","","-21.7","S","-45.0","S","0.0","","2.0","","2.0","","56","","29","","72",""
"-81.24","68.78","HALL BEACH A","2402350","1963-04","1963","04","-12.4","","-22.9","","-17.7","","-3.9","","-40.0","","0.0","","15.7","","15.7","","46","","9","","58","S"
"-81.24","68.78","HALL BEACH A","2402350","1963-05","1963","05","-6.1","","-16.2","","-11.2","","1.1","","-27.8","","0.3","","25.7","","25.9","","51","","34","","60",""
"-81.24","68.78","HALL BEACH A","2402350","1963-06","1963","06","1.9","","-4.2","","-1.2","","7.8","","-12.2","","6.6","","2.8","","9.4","","0","T","36","","51",""
"-81.24","68.78","HALL BEACH A","2402350","1963-07","1963","07","7.3","","2.0","","4.7","","14.4","S","0.0","S","42.4","","0.0","T","42.4","","0","","29","","56",""
"-81.24","68.78","HALL BEACH A","2402350","1963-08","1963","08","7.1","","1.9","","4.5","","10.6","S","-1.1","S","41.9","","1.5","","43.4","","0","","32","","89",""
